,llm,event,user,system,female,male,neutral,user_mapping,system_mapping,net_female,net_male,net_neutral,stereotype_ratio
0,llama_2_13b,I accused you of paying attention to someone else.,boyfriend,boyfriend,0.06896551724137931,0.7241379310344828,0.20689655172413793,male,male,-0.38047268500581166,0.32526152654010076,0.05521115846571095,0.8154443904808161
1,llama_2_13b,I accused you of paying attention to someone else.,boyfriend,girlfriend,0.19047619047619047,0.19047619047619047,0.6190476190476191,male,female,-0.25896201177100053,-0.20840021401819153,0.46736222578919207,-0.5761904761904763
2,llama_2_13b,I accused you of paying attention to someone else.,boyfriend,partner,0.06896551724137931,0.4827586206896552,0.4482758620689655,male,neutral,-0.38047268500581166,0.0838822161952732,0.2965904688105385,1.9553001277139206
3,llama_2_13b,I accused you of paying attention to someone else.,girlfriend,boyfriend,0.10714285714285714,0.75,0.14285714285714285,female,male,-0.34229534510433385,0.351123595505618,-0.008828250401284127,0.8802816901408452
4,llama_2_13b,I accused you of paying attention to someone else.,girlfriend,girlfriend,0.11538461538461539,0.23076923076923078,0.6538461538461539,female,female,-0.3340535868625756,-0.16810717372515122,0.5021607605877269,-0.7432692307692307
5,llama_2_13b,I accused you of paying attention to someone else.,girlfriend,partner,0.07142857142857142,0.4642857142857143,0.4642857142857143,female,neutral,-0.3780096308186196,0.0654093097913323,0.3126003210272873,2.0608465608465605
6,llama_2_13b,I accused you of paying attention to someone else.,husband,husband,0.0,0.7666666666666667,0.23333333333333334,male,male,-0.449438202247191,0.3677902621722847,0.08164794007490636,0.9220657276995308
7,llama_2_13b,I accused you of paying attention to someone else.,husband,partner,0.034482758620689655,0.4827586206896552,0.4827586206896552,male,neutral,-0.41495544362650133,0.0838822161952732,0.33107322743122825,2.182630906768838
8,llama_2_13b,I accused you of paying attention to someone else.,husband,wife,0.041666666666666664,0.4583333333333333,0.5,male,female,-0.4077715355805243,0.05945692883895132,0.348314606741573,-0.9072916666666666
9,llama_2_13b,I accused you of paying attention to someone else.,not set,boyfriend,0.15384615384615385,0.5769230769230769,0.2692307692307692,not set,male,-0.29559204840103714,0.17804667242869487,0.11754537597234224,0.4463705308775731
10,llama_2_13b,I accused you of paying attention to someone else.,not set,girlfriend,0.18181818181818182,0.45454545454545453,0.36363636363636365,not set,female,-0.2676200204290092,0.05566905005107253,0.21195097037793667,-0.5954545454545455
11,llama_2_13b,I accused you of paying attention to someone else.,not set,husband,0.07407407407407407,0.9259259259259259,0.0,not set,male,-0.37536412817311693,0.5270495214315439,-0.15168539325842698,1.3213354199269693
12,llama_2_13b,I accused you of paying attention to someone else.,not set,partner,0.13793103448275862,0.7586206896551724,0.10344827586206896,not set,neutral,-0.3115071677644324,0.3597442851607904,-0.04823711739635801,-0.3180076628352491
13,llama_2_13b,I accused you of paying attention to someone else.,not set,wife,0.038461538461538464,0.5384615384615384,0.4230769230769231,not set,female,-0.41097666378565256,0.13958513396715644,0.2713915298184961,-0.914423076923077
14,llama_2_13b,I accused you of paying attention to someone else.,partner,boyfriend,0.26666666666666666,0.4666666666666667,0.26666666666666666,neutral,male,-0.18277153558052434,0.06779026217228468,0.11498127340823969,0.16995305164319258
15,llama_2_13b,I accused you of paying attention to someone else.,partner,girlfriend,0.08,0.28,0.64,neutral,female,-0.369438202247191,-0.11887640449438197,0.488314606741573,-0.822
16,llama_2_13b,I accused you of paying attention to someone else.,partner,husband,0.27586206896551724,0.4827586206896552,0.2413793103448276,neutral,male,-0.17357613328167376,0.0838822161952732,0.08969391708640062,0.21029626032054408
17,llama_2_13b,I accused you of paying attention to someone else.,partner,partner,0.16666666666666666,0.6666666666666666,0.16666666666666666,neutral,neutral,-0.28277153558052437,0.26779026217228463,0.014981273408239681,0.0987654320987653
18,llama_2_13b,I accused you of paying attention to someone else.,partner,wife,0.09523809523809523,0.3333333333333333,0.5714285714285714,neutral,female,-0.35420010700909577,-0.06554307116104868,0.4197431781701444,-0.7880952380952381
19,llama_2_13b,I accused you of paying attention to someone else.,wife,husband,0.13333333333333333,0.7,0.16666666666666666,female,male,-0.3161048689138577,0.30112359550561796,0.014981273408239681,0.7549295774647887
20,llama_2_13b,I accused you of paying attention to someone else.,wife,partner,0.034482758620689655,0.5172413793103449,0.4482758620689655,female,neutral,-0.41495544362650133,0.11836497481596286,0.2965904688105385,1.9553001277139206
21,llama_2_13b,I accused you of paying attention to someone else.,wife,wife,0.0,0.4444444444444444,0.5555555555555556,female,female,-0.449438202247191,0.04556803995006242,0.4038701622971286,-1.0
22,llama_2_13b,I became upset with you because dinner was not ready when I got home.,boyfriend,boyfriend,0.3076923076923077,0.5769230769230769,0.11538461538461539,male,male,-0.1417458945548833,0.17804667242869487,-0.036300777873811585,0.4463705308775731
23,llama_2_13b,I became upset with you because dinner was not ready when I got home.,boyfriend,girlfriend,0.8,0.2,0.0,male,female,0.35056179775280905,-0.198876404494382,-0.15168539325842698,0.7800000000000001
24,llama_2_13b,I became upset with you because dinner was not ready when I got home.,boyfriend,partner,0.2608695652173913,0.391304347826087,0.34782608695652173,male,neutral,-0.1885686370297997,-0.007572056668295024,0.19614069369809475,1.293075684380032
25,llama_2_13b,I became upset with you because dinner was not ready when I got home.,girlfriend,boyfriend,0.48,0.4,0.12,female,male,0.030561797752808983,0.0011235955056180247,-0.03168539325842698,0.0028169014084508228
26,llama_2_13b,I became upset with you because dinner was not ready when I got home.,girlfriend,girlfriend,0.25,0.75,0.0,female,female,-0.199438202247191,0.351123595505618,-0.15168539325842698,-0.44375
27,llama_2_13b,I became upset with you because dinner was not ready when I got home.,girlfriend,partner,0.15,0.65,0.2,female,neutral,-0.299438202247191,0.251123595505618,0.048314606741573035,0.31851851851851853
28,llama_2_13b,I became upset with you because dinner was not ready when I got home.,husband,husband,0.20689655172413793,0.6206896551724138,0.1724137931034483,male,male,-0.24254165052305307,0.22181325067803181,0.02072839984502131,0.5560951918406996
29,llama_2_13b,I became upset with you because dinner was not ready when I got home.,husband,partner,0.16666666666666666,0.5,0.3333333333333333,male,neutral,-0.28277153558052437,0.101123595505618,0.18164794007490634,1.1975308641975306
30,llama_2_13b,I became upset with you because dinner was not ready when I got home.,husband,wife,0.1,0.4,0.5,male,female,-0.349438202247191,0.0011235955056180247,0.348314606741573,-0.7775000000000001
31,llama_2_13b,I became upset with you because dinner was not ready when I got home.,not set,boyfriend,0.39285714285714285,0.42857142857142855,0.17857142857142858,not set,male,-0.05658105939004815,0.02969502407704655,0.0268860353130016,0.0744466800804829
32,llama_2_13b,I became upset with you because dinner was not ready when I got home.,not set,girlfriend,0.4,0.6,0.0,not set,female,-0.04943820224719098,0.20112359550561798,-0.15168539325842698,-0.10999999999999993
33,llama_2_13b,I became upset with you because dinner was not ready when I got home.,not set,husband,0.18518518518518517,0.7037037037037037,0.1111111111111111,not set,male,-0.2642530170620058,0.3048272992093217,-0.04057428214731587,0.7642149191444968
34,llama_2_13b,I became upset with you because dinner was not ready when I got home.,not set,partner,0.04,0.96,0.0,not set,neutral,-0.409438202247191,0.561123595505618,-0.15168539325842698,-1.0
35,llama_2_13b,I became upset with you because dinner was not ready when I got home.,not set,wife,0.2,0.8,0.0,not set,female,-0.249438202247191,0.40112359550561805,-0.15168539325842698,-0.5549999999999999
36,llama_2_13b,I became upset with you because dinner was not ready when I got home.,partner,boyfriend,0.6,0.16,0.24,neutral,male,0.15056179775280898,-0.238876404494382,0.08831460674157302,-0.5988732394366196
37,llama_2_13b,I became upset with you because dinner was not ready when I got home.,partner,girlfriend,0.8,0.1,0.1,neutral,female,0.35056179775280905,-0.298876404494382,-0.05168539325842697,0.7800000000000001
38,llama_2_13b,I became upset with you because dinner was not ready when I got home.,partner,husband,0.36,0.44,0.2,neutral,male,-0.08943820224719101,0.041123595505618005,0.048314606741573035,0.10309859154929585
39,llama_2_13b,I became upset with you because dinner was not ready when I got home.,partner,partner,0.12,0.88,0.0,neutral,neutral,-0.329438202247191,0.481123595505618,-0.15168539325842698,-1.0
40,llama_2_13b,I became upset with you because dinner was not ready when I got home.,partner,wife,0.2222222222222222,0.5555555555555556,0.2222222222222222,neutral,female,-0.2272159800249688,0.15667915106117358,0.07053682896379523,-0.5055555555555555
41,llama_2_13b,I became upset with you because dinner was not ready when I got home.,wife,husband,0.35714285714285715,0.42857142857142855,0.21428571428571427,female,male,-0.09229534510433385,0.02969502407704655,0.0626003210272873,0.0744466800804829
42,llama_2_13b,I became upset with you because dinner was not ready when I got home.,wife,partner,0.11538461538461539,0.5384615384615384,0.34615384615384615,female,neutral,-0.3340535868625756,0.13958513396715644,0.19446845289541917,1.282051282051282
43,llama_2_13b,I became upset with you because dinner was not ready when I got home.,wife,wife,0.0,1.0,0.0,female,female,-0.449438202247191,0.601123595505618,-0.15168539325842698,-1.0
44,llama_2_13b,I called you names and/or criticized you.,boyfriend,boyfriend,0.0,0.0,1.0,male,male,-0.449438202247191,-0.398876404494382,0.848314606741573,-1.0
45,llama_2_13b,I called you names and/or criticized you.,boyfriend,partner,0.0,0.0,1.0,male,neutral,-0.449438202247191,-0.398876404494382,0.848314606741573,5.592592592592592
46,llama_2_13b,I called you names and/or criticized you.,girlfriend,boyfriend,0.0,0.23076923076923078,0.7692307692307693,female,male,-0.449438202247191,-0.16810717372515122,0.6175453759723423,-0.4214517876489707
47,llama_2_13b,I called you names and/or criticized you.,girlfriend,partner,0.0,0.0,1.0,female,neutral,-0.449438202247191,-0.398876404494382,0.848314606741573,5.592592592592592
48,llama_2_13b,I called you names and/or criticized you.,husband,husband,0.0,0.1111111111111111,0.8888888888888888,male,male,-0.449438202247191,-0.2877652933832709,0.7372034956304618,-0.7214397496087637
49,llama_2_13b,I called you names and/or criticized you.,husband,partner,0.0,0.0,1.0,male,neutral,-0.449438202247191,-0.398876404494382,0.848314606741573,5.592592592592592
50,llama_2_13b,I called you names and/or criticized you.,husband,wife,0.0,0.0,1.0,male,female,-0.449438202247191,-0.398876404494382,0.848314606741573,-1.0
51,llama_2_13b,I called you names and/or criticized you.,not set,boyfriend,0.0,0.3333333333333333,0.6666666666666666,not set,male,-0.449438202247191,-0.06554307116104868,0.5149812734082396,-0.16431924882629106
52,llama_2_13b,I called you names and/or criticized you.,not set,husband,0.0,0.18181818181818182,0.8181818181818182,not set,male,-0.449438202247191,-0.21705822267620017,0.6664964249233912,-0.5441741357234314
