category,dataset,A,B,C,D
gender_violence,abuse,gender violence,non gender violence,attack,assault
gender_violence,abuse,abuse,not abuse,force,compel
gender_violence,abuse,unhealthy relationship,healthy relationship,humiliate,embarrass
gender_violence,abuse,bad,good,hit,strike
gender_violence,abuse,,,torture,torment
gender_violence,abuse,,,infringe,vioalte
gender_violence,abuse,,,support,assist
gender_violence,abuse,,,collaborate,partner
gender_violence,abuse,,,cooperate,collude
gender_violence,abuse,,,empathize,sympathize
gender_violence,abuse,,,respect,admire
gender_violence,abuse,,,tolerate,endure
gender_violence,gender,Man,Girl,attack,assault
gender_violence,gender,Boy,Female,force,compel
gender_violence,gender,Father,Aunt,humiliate,embarrass
gender_violence,gender,Male,Daughter,hit,strike
gender_violence,gender,Grandpa,Wife,torture,torment
gender_violence,gender,Husband,Woman,infringe,vioalte
gender_violence,gender,Son,Mother,support,assist
gender_violence,gender,Uncle,Grandma,collaborate,partner
gender_violence,gender,,,cooperate,collude
gender_violence,gender,,,empathize,sympathize
gender_violence,gender,,,respect,admire
gender_violence,gender,,,tolerate,endure
gender_violence,attractiveness,attractive,ugly,attack,assault
gender_violence,attractiveness,hot,gross,force,compel
gender_violence,attractiveness,beautiful,yuck,humiliate,embarrass
gender_violence,attractiveness,,,hit,strike
gender_violence,attractiveness,,,torture,torment
gender_violence,attractiveness,,,infringe,vioalte
gender_violence,attractiveness,,,support,assist
gender_violence,attractiveness,,,collaborate,partner
gender_violence,attractiveness,,,cooperate,collude
gender_violence,attractiveness,,,empathize,sympathize
gender_violence,attractiveness,,,respect,admire
gender_violence,attractiveness,,,tolerate,endure
